From = 15322, To = 15478
Hash Table: Word 'mcccclxxvi' exists [139753940844546] times
Hash Table: Word 'venetiis' exists [139753940844548] times
Hash Table: Word 'infoldiogene' exists [139753940844545] times
Hash Table: Word 'laertio' exists [139753940844545] times
Hash Table: Word 'incomincia' exists [139753940844545] times
Hash Table: Word 'philosophi' exists [139753940844545] times
Hash Table: Word 'impressum' exists [139753940844546] times
Hash Table: Word 'bernardinum' exists [139753940844545] times
Hash Table: Word 'celerium' exists [139753940844545] times
Hash Table: Word 'luere' exists [139753940844545] times
Hash Table: Word 'bibia' exists [139753940844546] times
Hash Table: Word 'volgare' exists [139753940844549] times
Hash Table: Word 'historiata' exists [139753940844545] times
Hash Table: Word 'mallermi' exists [139753940844546] times
Hash Table: Word 'venecia' exists [139753940844546] times
Hash Table: Word 'mcccclxxi' exists [139753940844545] times
Hash Table: Word 'kalende' exists [139753940844545] times
Hash Table: Word 'vindelino' exists [139753940844545] times
Hash Table: Word 'spira' exists [139753940844545] times
Hash Table: Word 'lin' exists [139753940844545] times
Hash Table: Word 'ediz' exists [139753940844546] times
Hash Table: Word 'stessa' exists [139753940844545] times
Hash Table: Word 'versione' exists [139753940844551] times
Hash Table: Word 'gabriel' exists [139753940844545] times
Hash Table: Word 'ottavio' exists [139753940844545] times
Hash Table: Word 'scotto' exists [139753940844545] times
Hash Table: Word 'modoetia' exists [139753940844545] times
Hash Table: Word 'joan' exists [139753940844545] times
Hash Table: Word 'vercellese' exists [139753940844545] times
Hash Table: Word 'ragazo' exists [139753940844545] times
Hash Table: Word 'monteferato' exists [139753940844545] times
Hash Table: Word 'instantia' exists [139753940844545] times
Hash Table: Word 'luchanthonio' exists [139753940844545] times
Hash Table: Word 'giunta' exists [139753940844545] times
Hash Table: Word 'ecclapidario' exists [139753940844545] times
Hash Table: Word 'teofrasto' exists [139753940844545] times
Hash Table: Word 'mandebille' exists [139753940844545] times
Hash Table: Word 'lapidaire' exists [139753940844545] times
Hash Table: Word 'italiana' exists [139753940844549] times
Hash Table: Word 'agricola' exists [139753940844545] times
Hash Table: Word 'puo' exists [139753940844545] times
Hash Table: Word 'mineralibus' exists [139753940844545] times
Hash Table: Word 'traduzione' exists [139753940844545] times
Hash Table: Word 'poema' exists [139753940844545] times
Hash Table: Word 'latino' exists [139753940844548] times
Hash Table: Word 'lapidum' exists [139753940844545] times
Hash Table: Word 'seu' exists [139753940844546] times
Hash Table: Word 'gemmis' exists [139753940844545] times
Hash Table: Word 'marbordio' exists [139753940844545] times
Hash Table: Word 'veterio' exists [139753940844545] times
Hash Table: Word 'rennes' exists [139753940844545] times
Hash Table: Word 'tradotto' exists [139753940844545] times
Hash Table: Word 'francese' exists [139753940844549] times
Hash Table: Word 'evao' exists [139753940844545] times
Hash Table: Word 'darabia' exists [139753940844545] times
Hash Table: Word 'medico' exists [139753940844545] times
Hash Table: Word 'laveva' exists [139753940844545] times
Hash Table: Word 'limperatore' exists [139753940844545] times
Hash Table: Word 'tiberio' exists [139753940844545] times
Hash Table: Word 'marbodio' exists [139753940844545] times
Hash Table: Word 'traduzioni' exists [139753940844545] times
Hash Table: Word 'prosa' exists [139753940844546] times
Hash Table: Word 'lapidario' exists [139753940844546] times
Hash Table: Word 'pietre' exists [139753940844545] times
Hash Table: Word 'preziose' exists [139753940844545] times
Hash Table: Word 'erbe' exists [139753940844545] times
Hash Table: Word 'animali' exists [139753940844545] times
Hash Table: Word 'lapidary' exists [139753940844545] times
Hash Table: Word 'vegezio' exists [139753940844545] times
Hash Table: Word 'frontino' exists [139753940844545] times
Hash Table: Word 'cornazzano' exists [139753940844545] times
Hash Table: Word 'crediamo' exists [139753940844545] times
Hash Table: Word 'piuttosto' exists [139753940844546] times
Hash Table: Word 'valturio' exists [139753940844545] times
Hash Table: Word 'defavoriti' exists [139753940844545] times
Hash Table: Word 'scienza' exists [139753940844545] times
Hash Table: Word 'epistles' exists [139753940844547] times
Hash Table: Word 'filelfo' exists [139753940844546] times
Hash Table: Word 'bibliofilo' exists [139753940844545] times
Hash Table: Word 'soli' exists [139753940844546] times
Hash Table: Word 'esemplari' exists [139753940844546] times
Hash Table: Word 'privately' exists [139753940844545] times
Hash Table: Word 'regretted' exists [139753940844545] times
Hash Table: Word 'gioachino' exists [139753940844545] times
Hash Table: Word 'prints' exists [139753940844545] times
Hash Table: Word 'reproducing' exists [139753940844545] times
Hash Table: Word 'ciecho' exists [139753940844545] times
Hash Table: Word 'dascoli' exists [139753940844545] times
Hash Table: Word 'magnus' exists [139753940844546] times
Hash Table: Word 'rhetorics' exists [139753940844545] times
Hash Table: Word 'crescentio' exists [139753940844545] times
Hash Table: Word 'cibaldone' exists [139753940844545] times
Hash Table: Word 'quadriregio' exists [139753940844545] times
Hash Table: Word 'aesop' exists [139753940844545] times
Hash Table: Word 'donato' exists [139753940844546] times
Hash Table: Word 'donatus' exists [139753940844545] times
Hash Table: Word 'italice' exists [139753940844545] times
Hash Table: Word 'impensis' exists [139753940844545] times
Hash Table: Word 'johannis' exists [139753940844545] times
Hash Table: Word 'baptistae' exists [139753940844545] times
Hash Table: Word 'sessa' exists [139753940844545] times
Hash Table: Word 'psalterio' exists [139753940844545] times
Hash Table: Word 'malermi' exists [139753940844545] times
Hash Table: Word 'psalms' exists [139753940844545] times
Hash Table: Word 'squarzafico' exists [139753940844545] times
Hash Table: Word 'justino' exists [139753940844545] times
Hash Table: Word 'diligentemente' exists [139753940844545] times
Hash Table: Word 'materna' exists [139753940844545] times
Hash Table: Word 'ale' exists [139753940844545] times
Hash Table: Word 'spesse' exists [139753940844545] times
Hash Table: Word 'johane' exists [139753940844546] times
Hash Table: Word 'colonia' exists [139753940844545] times
Hash Table: Word 'gheretze' exists [139753940844545] times
Hash Table: Word 'infolmarsilii' exists [139753940844545] times
Hash Table: Word 'ficini' exists [139753940844545] times
Hash Table: Word 'theologia' exists [139753940844545] times
Hash Table: Word 'platonica' exists [139753940844545] times

